id,osmId,osm_type,name,type,capacity,occupancy,duration,resort,latitude,longitude
4674,12492458673,node,,pylon,,,,,46.1049743,11.6644943
4675,12492458674,node,,pylon,,,,,46.1051064,11.6659743
4676,12492458675,node,,pylon,,,,,46.1056595,11.6548555
4677,12492458676,node,,pylon,,,,,46.1066323,11.6553773
4678,12492458677,node,,pylon,,,,,46.1074969,11.655841
4679,12492458678,node,,pylon,,,,,46.1082885,11.6562655
4680,12492458679,node,,pylon,,,,,46.1091927,11.6567505
4681,12492458680,node,,pylon,,,,,46.1099589,11.6571614
4682,12492458681,node,,pylon,,,,,46.1108498,11.6576393
4683,12492458682,node,,pylon,,,,,46.1117021,11.6580964
4684,12492458683,node,,pylon,,,,,46.1121886,11.6583573
4685,12492458684,node,,pylon,,,,,46.1126828,11.6586225
4686,12492458685,node,,pylon,,,,,46.1135918,11.65911
4687,12492458686,node,,pylon,,,,,46.1143061,11.6594931
4688,12492552764,node,,pylon,,,,,46.6871604,11.7079143
4689,12492552765,node,,pylon,,,,,46.6882665,11.7060244
4690,12492552766,node,,pylon,,,,,46.6894328,11.7040315
4691,12492552767,node,,pylon,,,,,46.6907619,11.7017605
4692,12492552768,node,,pylon,,,,,46.691597,11.7003336
4693,12492552769,node,,pylon,,,,,46.6930396,11.6969997
4694,12492552770,node,,pylon,,,,,46.6934209,11.6959508
4695,12492552771,node,,pylon,,,,,46.694079,11.6941407
4696,12492552772,node,,pylon,,,,,46.6952111,11.6910262
4697,12492552773,node,,pylon,,,,,46.6960554,11.6887038
4698,12492552774,node,,pylon,,,,,46.6970992,11.6858324
4699,12492552775,node,,pylon,,,,,46.9820256,11.9914402
4700,12492552776,node,,pylon,,,,,46.9805673,11.992809
4701,12492552777,node,,pylon,,,,,46.9836875,11.9898803
4702,12492552778,node,,pylon,,,,,46.9851784,11.9884809
4703,12492552779,node,,pylon,,,,,46.986204,11.9875181
4704,12492552780,node,,pylon,,,,,46.9872071,11.9865764
4705,12492552781,node,,pylon,,,,,46.9882133,11.9856319
4706,12492552782,node,,pylon,,,,,46.9888413,11.9850424
4707,12497770958,node,,pylon,,,,,46.9172793,11.9033104
4708,12497770959,node,,pylon,,,,,46.9182645,11.9036461
4709,12497770960,node,,pylon,,,,,46.9199152,11.9042084
4710,12497803515,node,,pylon,,,,,46.9542153,12.0603925
4711,12497803516,node,,pylon,,,,,46.953738,12.0611487
4712,12497803517,node,,pylon,,,,,46.953264,12.0618998
4713,12497803518,node,,pylon,,,,,46.9527138,12.0627717
4714,12497803519,node,,pylon,,,,,46.9523714,12.0633142
4715,12497803520,node,,pylon,,,,,46.9520283,12.0638579
4716,12497803521,node,,pylon,,,,,46.9508223,12.0657687
4717,12497803522,node,,pylon,,,,,46.9506126,12.066101
4718,12497847702,node,,pylon,,,,,46.4267626,11.5898902
4719,12497847703,node,,pylon,,,,,46.4237293,11.5879394
4720,12497847704,node,,pylon,,,,,46.4225322,11.5871869
4721,12500751617,node,,pylon,,,,,46.7529219,11.9501191
4722,12500751618,node,,pylon,,,,,46.7526646,11.9502464
4723,12510904513,node,,pylon,,,,,46.7719442,10.7819792
