id,osmId,osm_type,name,difficulty,resort,ref,lit,grooming,latitude,longitude
221,34714196,way,2: Jochabfahrt;Abzweig 1:Talabfahrt Schöneben,easy,,2,,classic,46.8046969,10.4927647
222,34714198,way,Jochabfahrt,easy,,3,,classic,46.7966422,10.4925938
223,34714199,way,Jochabfahrt,easy,,3,,classic,46.7950716,10.4913211
224,34714200,way,Zehnerabfahrt,intermediate,,5,,classic,46.7961493,10.4901067
225,34714202,way,Talabfahrt Schöneben,intermediate,,1,,classic,46.814173,10.5020384
226,34749190,way,Schönebenabfahrt,easy,,2,,,46.8012249,10.4939963
227,41141088,way,,intermediate,20 Pala di Santa,,,classic,46.3487408,11.5323024
228,41659076,way,,easy,,,,,46.532906,10.9205286
229,41762666,way,,intermediate,,,,,46.7849212,10.7930485
230,41990865,way,Costabella Variante,easy,,,no,classic,46.5533861,11.7696928
231,41990868,way,Terza Punta,intermediate,,,no,classic,46.5514165,11.7604369
232,42217193,way,Boè,intermediate,,1,no,classic,46.5266444,11.8662865
233,42283595,way,,easy,,,,,46.5800618,11.9012427
234,42324841,way,Sponata,intermediate,,24,,,46.5960864,11.8958727
235,42438172,way,Mastellina,easy,,16,,,46.2804252,10.8314814
236,42439059,way,Sef,easy,,,no,classic,46.5287004,11.7479767
237,42447772,way,(61) Corna Rossa,intermediate,,61,,classic,46.2139426,10.8960862
238,42689116,way,Belvedere,easy,,3,,,46.2929313,10.8626594
239,42689120,way,Orso Bruno,easy,,11,,,46.2804038,10.823509
240,42689123,way,Spolverino,intermediate,,4,,,46.28839,10.8409314
241,42689124,way,Provetti,advanced,,5,,,46.2878553,10.8432124
242,42690042,way,(48) Fiocco di neve,intermediate,,48,no,,46.2540239,10.8208109
243,42690313,way,Sass Becè,intermediate,,1,,,46.4805724,11.8081755
244,42690956,way,Armentarola,intermediate,,1,no,classic,46.5445651,11.989104
245,42733862,way,(9) Delle Rocce,easy,,9,,,46.2776434,10.8301595
246,44151603,way,(57) Amazzonia,advanced,,57,,,46.2482723,10.8196084
247,44283169,way,Sole,easy,,,no,classic,46.522768,11.7689277
248,44283171,way,Piz Secteur - Comici,intermediate,,,no,classic,46.5261235,11.7606953
249,44283176,way,,easy,,,,,46.5270029,11.772525
250,45791958,way,(71) Boch,easy,,71,,,46.2241232,10.856006
251,46775212,way,Campo Freina,intermediate,,,no,classic,46.5503358,11.7594714
252,47296787,way,(54) Malga Zeledria - Fortini,easy,,54,no,,46.2419774,10.8343855
253,47296788,way,(49) Zeledria,easy,,49,no,,46.2519895,10.8198441
254,47375296,way,Belvedere,easy,,,,,46.7377519,11.9661883
255,47403565,way,(85) 5 Laghi,easy,,85,,,46.2333736,10.8173515
256,47403567,way,(91) Miramonti,advanced,,91,yes,,46.2319571,10.8217828
257,47403735,way,(85) 5 Laghi,easy,,85,,,46.2274338,10.8082544
258,47404694,way,(57) Amazzonia,advanced,,57,,,46.2472993,10.816403
259,47405177,way,(85) Skiweg Campiglio,easy,,85,,,46.2330865,10.822182
260,47405274,way,(73) Spinale diretta,intermediate,,73,,,46.2243213,10.8518389
261,47405288,way,(71) Boch,easy,,71,,,46.2237174,10.8538141
262,47405293,way,(80) Gendarme,easy,,80,no,classic,46.2324207,10.8490062
263,47745340,way,,easy,,,,,46.7381877,11.9587381
264,47747545,way,Corn,easy,,38,,classic,46.6973708,11.9258446
265,48466458,way,01 Trametsch,advanced,,,,,46.6925546,11.6984958
266,48468601,way,Plose 3,easy,,,,,46.6929154,11.7287461
267,48468607,way,Trainingspiste - CAI,advanced,,,,,46.6920698,11.733367
268,48468609,way,Querfahrt - Attraversamento,easy,,,,,46.6899243,11.7292217
269,48468611,way,Schönboden - Giogo Bello,easy,,,,,46.6871382,11.7175921
270,48602744,way,Schönboden - Giogo Bello,easy,,,,,46.6907182,11.7249399
271,48648578,way,Rossalm,easy,,,,,46.6891098,11.7373838
272,48752533,way,Paprika,advanced,,,no,classic,46.5302359,11.7554203
273,48800393,way,Piz Sorega B - Armentarola,easy,,9B,no,classic,46.5432511,11.9256054
274,48832840,way,Padon,intermediate,,50,,classic,46.458004,11.8907673
275,48857429,way,Armentarola,easy,,,no,classic,46.5581583,11.9499122
276,48920076,way,,easy,,,,,46.6888882,11.7334686
277,48966877,way,Larciunei,easy,,,no,classic,46.5571282,11.7653877
278,48966880,way,Dantercepies - Selva,easy,,,no,classic,46.5561919,11.7671947
279,49067234,way,Sole,easy,,,no,classic,46.5242295,11.7657583
280,49067235,way,Gran Paradiso - Piz Seteur,intermediate,,,no,classic,46.5254243,11.7602626
281,49067236,way,Plan de Gralba,easy,,,no,classic,46.5327244,11.7669355
282,49068271,way,,intermediate,,,,,46.5024213,11.7523304
283,49068272,way,Salei,intermediate,,14,,,46.5043372,11.7491388
284,49068273,way,,intermediate,,,,,46.5017491,11.7577657
285,49068397,way,,intermediate,,,,,46.5032411,11.7527999
286,49357312,way,Orsa Maggiore,intermediate,,,,,46.4380989,11.7466969
287,49436046,way,,easy,,,,,46.5990833,11.9005077
288,49436056,way,,easy,,,,,46.560082,11.9537316
289,49898528,way,Madritsch,advanced,,,,,46.506079,10.5960382
290,50061558,way,Palmschoss - Plancios,intermediate,,,,,46.6800757,11.7132027
291,50061561,way,,easy,,,,,46.6833773,11.7112779
292,50315670,way,Trametschzufahrt,advanced,,,,,46.6868123,11.7107273
293,50364566,way,Pra Grant,intermediate,,11,,,45.890051,11.1599733
294,50364568,way,Slalom Toll,intermediate,,13,,,45.8912691,11.1615049
295,50364579,way,Pra Grant,intermediate,,11,,,45.8887948,11.1700952
296,50649704,way,Klaussee II (K2),intermediate,,8,no,classic,46.9675539,11.9978719
297,50649705,way,Sattelhorn (K2),advanced,,8d,no,classic,46.969314,11.9924689
298,50823788,way,Cima Spill,intermediate,,15,,,45.8802493,11.195094
299,50823790,way,,easy,,,,,45.8764279,11.207446
300,50823791,way,Cargaore,easy,,17,,,45.8772511,11.2042138
301,50823793,way,Collegamento Fondo Piccolo-Fondo Grande,easy,,14b,,,45.8870999,11.1934324
302,50824057,way,Salizzona,intermediate,,8,,,45.8895696,11.1958635
303,50841053,way,Casina,easy,,15,,,46.294697,10.8618462
304,50843266,way,Nera Folgarida,advanced,,1,,,46.2965147,10.8571136
305,50843268,way,Malghet Aut 1,easy,,,,,46.2896944,10.8454948
306,50843269,way,Malghet Aut 2,easy,,,,,46.2893771,10.8454961
307,50843270,way,,easy,,,,,46.2913439,10.8533071
308,50844351,way,Mastellissima,intermediate,,32,,,46.2929528,10.8355551
309,50844352,way,Brenzi,intermediate,,8,,,46.2861838,10.8422331
310,50844773,way,Busa del Vigo,intermediate,,12,,,46.2768585,10.8318141
311,50844775,way,Panoramica,easy,,7,no,,46.2823082,10.8350175
