slopeId,osmId,name,difficulty,resort,ref,latitude,longitude
198,33682620,Muteggpiste - Pista Monte Muta,advanced,Schwemmalm,8,46.5355979,10.9110518
199,33684004,,easy,Schwemmalm,,46.540007,10.90491
200,33684005,,easy,Schwemmalm,,46.5385661,10.906013
201,33684006,,intermediate,Schwemmalm,,46.538596,10.9073798
202,33684007,,easy,Schwemmalm,,46.5372727,10.9097768
203,33684008,Asmol,intermediate,Schwemmalm,6,46.5391983,10.9150649
204,33684010,,easy,Schwemmalm,,46.5401576,10.922132
205,33684011,,easy,Schwemmalm,,46.5380258,10.9228387
206,33684012,Kircheler,intermediate,Schwemmalm,4,46.5413714,10.9283005
207,33684014,Dreimandler,intermediate,Schwemmalm,7,46.536297,10.9218628
208,33684015,,easy,Schwemmalm,,46.53164,10.9155722
209,33684019,Schwemmalm - Malga Guazza,intermediate,Schwemmalm,3,46.5388502,10.9286315
210,33684020,,easy,Schwemmalm,,46.5402657,10.9324433
211,33684021,,easy,Schwemmalm,,46.5422162,10.9312451
212,33684022,Talabfahrt - Discesa,intermediate,Schwemmalm,1,46.5433242,10.9381231
213,34167339,,intermediate,Petersberg - Monte San Pietro,,46.392399,11.2076764
214,34634971,,intermediate,Residenza,,46.3472269,11.5569717
215,34714189,Zwölferkopf II,advanced,Schöneben - Belpiano,9,46.7963705,10.4780667
216,34714191,Hütteltal,advanced,Schöneben - Belpiano,7,46.7975708,10.4835912
217,34714192,Rojenabfahrt,advanced,Schöneben - Belpiano,6,46.8000337,10.4811569
218,34714193,Zehnerabfahrt,intermediate,Schöneben - Belpiano,5,46.7997688,10.4898885
219,34714194,Aussichtsabfahrt,easy,Schöneben - Belpiano,4,46.7998491,10.4900426
220,34714195,Jochabfahrt,easy,Schöneben - Belpiano,3,46.802449,10.4938408
221,34714196,2: Jochabfahrt;Abzweig 1:Talabfahrt Schöneben,easy,Schöneben - Belpiano,2,46.8046969,10.4927647
222,34714198,Jochabfahrt,easy,Schöneben - Belpiano,3,46.7966422,10.4925938
223,34714199,Jochabfahrt,easy,Schöneben - Belpiano,3,46.7950716,10.4913211
224,34714200,Zehnerabfahrt,intermediate,Schöneben - Belpiano,5,46.7961493,10.4901067
225,34714202,Talabfahrt Schöneben,intermediate,Schöneben - Belpiano,1,46.814173,10.5020384
226,34749190,Schönebenabfahrt,easy,Schöneben - Belpiano,2,46.8012249,10.4939963
227,41141088,,intermediate,20 Pala di Santa,,46.3487408,11.5323024
228,41659076,,easy,Schwemmalm,,46.532906,10.9205286
229,41762666,,intermediate,Val Senales-Schnalstal,,46.7849212,10.7930485
230,41990865,Costabella Variante,easy,Sport Schenk,,46.5533861,11.7696928
231,41990868,Terza Punta,intermediate,Sport Schenk,,46.5514165,11.7604369
232,42217193,Boè,intermediate,Sellaronda,1,46.5266444,11.8662865
233,42283595,,easy,Alta Badia Shop & Rental,,46.5800618,11.9012427
234,42324841,Sponata,intermediate,Alta Badia Shop & Rental,24,46.5960864,11.8958727
235,42438172,Mastellina,easy,Busa del Vigo,16,46.2804252,10.8314814
236,42439059,Sef,easy,Val Gardena,,46.5287004,11.7479767
237,42447772,(61) Corna Rossa,intermediate,Campiglio Dolomiti di Brenta,61,46.2139426,10.8960862
238,42689116,Belvedere,easy,Folgarida-Marilleva,3,46.2929313,10.8626594
239,42689120,Orso Bruno,easy,Orso Bruno,11,46.2804038,10.823509
240,42689123,Spolverino,intermediate,Folgarida-Marilleva,4,46.28839,10.8409314
241,42689124,Provetti,advanced,Folgarida-Marilleva,5,46.2878553,10.8432124
242,42690042,(48) Fiocco di neve,intermediate,Malghette,48,46.2540239,10.8208109
243,42690313,Sass Becè,intermediate,Belvedere - Col Rodella - Passo Pordoi,1,46.4805724,11.8081755
244,42690956,Armentarola,intermediate,Lagazuoi - 5 Torri,1,46.5445651,11.989104
245,42733862,(9) Delle Rocce,easy,Busa del Vigo,9,46.2776434,10.8301595
246,44151603,(57) Amazzonia,advanced,Malghette,57,46.2482723,10.8196084
247,44283169,Sole,easy,Sport Schenk,,46.522768,11.7689277
248,44283171,Piz Secteur - Comici,intermediate,Sport Schenk,,46.5261235,11.7606953
249,44283176,,easy,Sport Schenk,,46.5270029,11.772525
250,45791958,(71) Boch,easy,Campiglio Dolomiti di Brenta,71,46.2241232,10.856006
251,46775212,Campo Freina,intermediate,Sport Schenk,,46.5503358,11.7594714
252,47296787,(54) Malga Zeledria - Fortini,easy,Campiglio Dolomiti di Brenta,54,46.2419774,10.8343855
253,47296788,(49) Zeledria,easy,Malghette,49,46.2519895,10.8198441
254,47375296,Belvedere,easy,Kronplatz - Plan de Corones,,46.7377519,11.9661883
255,47403565,(85) 5 Laghi,easy,Campiglio Dolomiti di Brenta,85,46.2333736,10.8173515
256,47403567,(91) Miramonti,advanced,Campiglio Dolomiti di Brenta,91,46.2319571,10.8217828
257,47403735,(85) 5 Laghi,easy,Campiglio Dolomiti di Brenta,85,46.2274338,10.8082544
258,47404694,(57) Amazzonia,advanced,Malghette,57,46.2472993,10.816403
259,47405177,(85) Skiweg Campiglio,easy,Campiglio Dolomiti di Brenta,85,46.2330865,10.822182
260,47405274,(73) Spinale diretta,intermediate,Campiglio Dolomiti di Brenta,73,46.2243213,10.8518389
261,47405288,(71) Boch,easy,Campiglio Dolomiti di Brenta,71,46.2237174,10.8538141
262,47405293,(80) Gendarme,easy,Campiglio Dolomiti di Brenta,80,46.2324207,10.8490062
263,47745340,,easy,Kronplatz - Plan de Corones,,46.7381877,11.9587381
264,47747545,Corn,easy,Antermoia,38,46.6973708,11.9258446
265,48466458,01 Trametsch,advanced,Brixen Plose - Plose di Bressanone,,46.6925546,11.6984958
266,48468601,Plose 3,easy,Brixen Plose - Plose di Bressanone,,46.6929154,11.7287461
267,48468607,Trainingspiste - CAI,advanced,Brixen Plose - Plose di Bressanone,,46.6920698,11.733367
268,48468609,Querfahrt - Attraversamento,easy,Brixen Plose - Plose di Bressanone,,46.6899243,11.7292217
269,48468611,Schönboden - Giogo Bello,easy,Brixen Plose - Plose di Bressanone,,46.6871382,11.7175921
270,48602744,Schönboden - Giogo Bello,easy,Brixen Plose - Plose di Bressanone,,46.6907182,11.7249399
271,48648578,Rossalm,easy,Brixen Plose - Plose di Bressanone,,46.6891098,11.7373838
272,48752533,Paprika,advanced,Sport Schenk,,46.5302359,11.7554203
273,48800393,Piz Sorega B - Armentarola,easy,Dolomiti Superski,9B,46.5432511,11.9256054
274,48832840,Padon,intermediate,Marmolada,50,46.458004,11.8907673
275,48857429,Armentarola,easy,Dolomiti Superski,,46.5581583,11.9499122
276,48920076,,easy,Brixen Plose - Plose di Bressanone,,46.6888882,11.7334686
277,48966877,Larciunei,easy,Sport Schenk,,46.5571282,11.7653877
278,48966880,Dantercepies - Selva,easy,Sport Schenk,,46.5561919,11.7671947
279,49067234,Sole,easy,Sport Schenk,,46.5242295,11.7657583
280,49067235,Gran Paradiso - Piz Seteur,intermediate,Sport Schenk,,46.5254243,11.7602626
281,49067236,Plan de Gralba,easy,Sport Schenk,,46.5327244,11.7669355
282,49068271,,intermediate,Belvedere - Col Rodella - Passo Pordoi,,46.5024213,11.7523304
283,49068272,Salei,intermediate,Belvedere - Col Rodella - Passo Pordoi,14,46.5043372,11.7491388
284,49068273,,intermediate,Belvedere - Col Rodella - Passo Pordoi,,46.5017491,11.7577657
285,49068397,,intermediate,Belvedere - Col Rodella - Passo Pordoi,,46.5032411,11.7527999
286,49357312,Orsa Maggiore,intermediate,Buffaure - Ciampac,,46.4380989,11.7466969
287,49436046,,easy,Alta Badia Shop & Rental,,46.5990833,11.9005077
288,49436056,,easy,Dolomiti Superski,,46.560082,11.9537316
289,49898528,Madritsch,advanced,Sulden am Ortler - Solda al Ortles,,46.506079,10.5960382
290,50061558,Palmschoss - Plancios,intermediate,Brixen Plose - Plose di Bressanone,,46.6800757,11.7132027
291,50061561,,easy,Brixen Plose - Plose di Bressanone,,46.6833773,11.7112779
292,50315670,Trametschzufahrt,advanced,Brixen Plose - Plose di Bressanone,,46.6868123,11.7107273
293,50364566,Pra Grant,intermediate,Folgaria,11,45.890051,11.1599733
294,50364568,Slalom Toll,intermediate,Folgaria,13,45.8912691,11.1615049
295,50364579,Pra Grant,intermediate,Folgaria,11,45.8887948,11.1700952
296,50649704,Klaussee II (K2),intermediate,Klausberg - Monte Chiusetta,8,46.9675539,11.9978719
297,50649705,Sattelhorn (K2),advanced,Klausberg - Monte Chiusetta,8d,46.969314,11.9924689
298,50823788,Cima Spill,intermediate,Centro Fondo Passo Coe,15,45.8802493,11.195094
299,50823790,,easy,Centro Fondo Passo Coe,,45.8764279,11.207446
300,50823791,Cargaore,easy,Centro Fondo Passo Coe,17,45.8772511,11.2042138
301,50823793,Collegamento Fondo Piccolo-Fondo Grande,easy,Folgaria,14b,45.8870999,11.1934324
302,50824057,Salizzona,intermediate,Folgaria,8,45.8895696,11.1958635
303,50841053,Casina,easy,Folgarida-Marilleva,15,46.294697,10.8618462
304,50843266,Nera Folgarida,advanced,Folgarida-Marilleva,1,46.2965147,10.8571136
305,50843268,Malghet Aut 1,easy,Folgarida-Marilleva,,46.2896944,10.8454948
306,50843269,Malghet Aut 2,easy,Folgarida-Marilleva,,46.2893771,10.8454961
307,50843270,,easy,Folgarida-Marilleva,,46.2913439,10.8533071
308,50844351,Mastellissima,intermediate,Folgarida-Marilleva,32,46.2929528,10.8355551
309,50844352,Brenzi,intermediate,Folgarida-Marilleva,8,46.2861838,10.8422331
310,50844773,Busa del Vigo,intermediate,Busa del Vigo,12,46.2768585,10.8318141
311,50844775,Panoramica,easy,Busa del Vigo,7,46.2823082,10.8350175
312,50844776,Busa del Vigo,intermediate,Busa del Vigo,7,46.2791476,10.8371475
313,50845485,Malghette,intermediate,Malghette,10,46.2691002,10.8307154
314,50847861,Azzurra,easy,Folgarida-Marilleva,2,46.2941967,10.8567342
315,50847863,,easy,Folgarida-Marilleva,,46.2887935,10.8469652
316,51046044,,intermediate,Rein in Taufers - Riva di Tures,,46.9526013,12.0631335
317,51046046,,intermediate,Rein in Taufers - Riva di Tures,,46.9523145,12.0633185
318,51046048,,easy,Rein in Taufers - Riva di Tures,,46.9513216,12.0621818
319,51046050,,easy,Rein in Taufers - Riva di Tures,,46.9501553,12.0595109
320,51046052,,intermediate,Rein in Taufers - Riva di Tures,,46.9496811,12.059748
321,51046819,,easy,Rein in Taufers - Riva di Tures,,46.9507077,12.0599381
322,51048441,Hexenschuss (K1),advanced,Klausberg - Monte Chiusetta,2a,46.9738643,11.9881082
323,51048444,Sonnen 2,advanced,Klausberg - Monte Chiusetta,3f,46.9879275,11.9852978
324,51182018,,easy,Laner,,46.3723962,11.5324763
325,51182019,Ochsenweide,intermediate,Obereggen,3,46.3825378,11.5262158
326,51529759,,easy,Schwemmalm,,46.5362322,10.9244452
327,51553591,Laner,easy,Laner,4,46.3697868,11.532236
328,51553592,Obereggen,intermediate,Ochsenweide,2a,46.3777795,11.5288956
329,51553595,,easy,Laner,,46.3721024,11.5325151
330,51553597,Ochsenweide,intermediate,Ochsenweide,3,46.3789682,11.5284283
331,51558959,Maierl,intermediate,Maierl,5,46.3650609,11.5393854
332,51646818,,easy,7 Skiweg Reiterjoch,,46.3619756,11.5340937
